body_text,review_datetime_raw,review_title,rating_raw,translated_review,original_language
"Das Innere des Schiffes sehr sauber gut durchlüftet.
Kabine nicht gerade sauber. Aber bei den Zeitdruck den die Reinigungskräfte haben, wundert mich das nicht.
Deutsche Sprache war kaum möglich. Das weibliche Personal war oft unfreundlich. Bin das erste mal mit gefahren. Noch Mal reiten würde mich es nicht. Durch die schwierige Kommunikation wurde man dezent herablassend behandelt.",Datoen for opplevelsen: 14. juni 2024,"Mal mit gemacht, aber nicht noch mal",Vurdert til 3 av 5 stjerner,"The interior of the ship was very clean and well ventilated. The cabin wasn&#39;t exactly clean. But given the time pressure the cleaners are under, that doesn&#39;t surprise me. It was almost impossible to speak German. The female staff were often unfriendly. It was my first time on the ship. I wouldn&#39;t go on it again. The difficulty in communicating meant that people were treated in a slightly condescending manner.",DE
"Not Dog-Friendly: A Disappointing Experience for Pet Owners

I recently travelled on the Color Line ferry from Norway to Denmark and was deeply disappointed with the lack of consideration for dog owners. This ferry line appears to prioritize smokers over pet owners, which was evident throughout the journey.

Dog Owners Beware

If you have a dog, avoid this ferry line. Unlike other ferries where you can keep your dog with you on the outdoor deck if you don't want to leave them in a cage or car, Color Line offers no such accommodations. There was no designated area for dogs to urinate and no sheltered places for owners to sit with their dogs. Meanwhile, there were plenty of shelters for smokers.

Compared to the Fjord Line

The ticket price for Color Line was almost twice as expensive as Fjord Line, yet the latter provided a far superior experience. Fjord Line offered heated areas with couches and special spots for dogs to relieve themselves. This stark contrast in service was quite disappointing.

Poor Customer Service

To address my concerns, I approached the reception to get an email address for customer service. The staff member, an older man with stars on his uniform, was incredibly rude. He told me to leave the area immediately because I had my dog with me. While I understand rules are rules, his manner was abrupt and unprofessional.

As I tried to explain my situation and apologize, he started petting my dog without permission. When I asked my dog to come to me, the staff member became visibly angry, cut me off mid-sentence, and stormed off without another word. Such stubborn and unprofessional behaviour is unacceptable, especially in a customer-facing role.

Conclusion

This experience was the worst I’ve had on a ferry, and I will never use Color Line again. Other dog owners I met on the ferry shared similar sentiments. If you are a dog owner, I strongly recommend avoiding Color Line and opting for more pet-friendly alternatives like Fjord Line.

Color Line needs to seriously reconsider their policies and training for dealing with pet owners to avoid such negative experiences in the future.",Datoen for opplevelsen: 22. juni 2024,Not Dog-Friendly,Vurdert til 1 av 5 stjerner,"Not Dog-Friendly: A Disappointing Experience for Pet Owners

I recently travelled on the Color Line ferry from Norway to Denmark and was deeply disappointed with the lack of consideration for dog owners. This ferry line appears to prioritize smokers over pet owners, which was evident throughout the journey.

Dog Owners Beware

If you have a dog, avoid this ferry line. Unlike other ferries where you can keep your dog with you on the outdoor deck if you don't want to leave them in a cage or car, Color Line offers no such accommodations. There was no designated area for dogs to urinate and no sheltered places for owners to sit with their dogs. Meanwhile, there were plenty of shelters for smokers.

Compared to the Fjord Line

The ticket price for Color Line was almost twice as expensive as Fjord Line, yet the latter provided a far superior experience. Fjord Line offered heated areas with couches and special spots for dogs to relieve themselves. This stark contrast in service was quite disappointing.

Poor Customer Service

To address my concerns, I approached the reception to get an email address for customer service. The staff member, an older man with stars on his uniform, was incredibly rude. He told me to leave the area immediately because I had my dog with me. While I understand rules are rules, his manner was abrupt and unprofessional.

As I tried to explain my situation and apologize, he started petting my dog without permission. When I asked my dog to come to me, the staff member became visibly angry, cut me off mid-sentence, and stormed off without another word. Such stubborn and unprofessional behaviour is unacceptable, especially in a customer-facing role.

Conclusion

This experience was the worst I’ve had on a ferry, and I will never use Color Line again. Other dog owners I met on the ferry shared similar sentiments. If you are a dog owner, I strongly recommend avoiding Color Line and opting for more pet-friendly alternatives like Fjord Line.

Color Line needs to seriously reconsider their policies and training for dealing with pet owners to avoid such negative experiences in the future.",EN
"Gjelder båtene oslo kiel.. de som jobber ombord. Sure og grinete og overhode ikke hyggelig besettning.. de i taxfree. De på buffeen. Oppi burgerbaren.pøbben. resturangene.Stort sett over hele båten.har reist med disse båtene i 15 år.. det er overhode ikke noe hyggelig selskap og reise med lenger.. de kommer til og få stort kundetap når den nye ruta fra vippen går til dannark. Siden dfds er kjøpt opp av ett svensk firma.. alle savner stena og de som jobbet der. Det var hyggelige folk og imøtekommende og totalt anderledes..
Og prisene på colorline er jo blitt helt jævli.
Både i taxfree og i barene...
Vi gleder oss til de nye båtene kommer som skal gå til danmark... blir aldri og gidde og reise med disse båtene igjen... terningkast etter 15 år.. 5.. de siste 4 åra.. - 10. De øker ikke priser med noen kroner.. det er snakk flere hundre om gangen.. AP og H sine båter dette...",Datoen for opplevelsen: 17. juni 2024,Sure folk som jobber der og prisøkningene er helt forjærvlig,Vurdert til 1 av 5 stjerner,Applies to the boats oslo kiel.. those who work on board. Sour and grumpy and not a nice crew at all.. the ones in duty free. The ones at the buffet. Up the burger bar. pub. the resturangene. Pretty much all over the boat. have traveled with these boats for 15 years.. there is absolutely no nice company to travel with anymore.. they are going to have a big loss of customers when the new route from vippen goes to dannark. Since dfds has been acquired by a Swedish company.. everyone misses the stone and those who worked there. There were nice people and welcoming and totally different.. And the prices on colorline have become absolutely hellish. Both in duty free and in the bars... We are looking forward to the arrival of the new boats that will go to Denmark... will never be bothered to travel with these boats again... roll of the dice after 15 years.. 5.. the last 4 years.. - 10. They don&#39;t increase prices by a few kroner.. it&#39;s several hundreds at a time.. AP and H&#39;s boats this...,NO
"Flott båt og flott lugar👍 Godt fornøyd, men det er et men...De fleste av personalet var kjempehyggelige og servicemindet, men dessverre ikke alle. En ansatt i resturang, bufe var direkte uhøflig da vi satt 2-3 minutter for lenge.. Ble heldigvis irettesatt av en annen ansatt.. De som jobber i informasjon må være forsiktige med å ikke gi feilaktig informasjon, og også være litt mer servicemindet👍Mye nydelig mat, men varmrettene kunne vært noe varmere... Tar gjerne turen igjen👍👍",Datoen for opplevelsen: 01. juni 2024,"Mest fornøyd, men noget minus var det.",Vurdert til 3 av 5 stjerner,"Great boat and great cabin👍 Well satisfied, but there is a but... Most of the staff were very pleasant and service minded, but unfortunately not all of them. An employee in the restaurant, buffet was downright rude when we sat 2-3 minutes too long.. Fortunately was reprimanded by another employee.. Those who work in information must be careful not to give incorrect information, and also be a little more service minded 👍Lots of lovely food, but the hot dishes could have been a bit warmer... Would love to make the trip again👍👍",NO
"Es gibt im Grunde nichts Negatives über das Schiff zu sagen. Kabinen sind sauber, die Crew freundlich und bei Bedarf hilfsbereit, das Speisen-Angebot vielfältig…. ausser, man hat Lebensmittelallergien oder ist Veganer oder beides, so wie ich. Da ist es ratsam, sich sein Essen selber mitzubringen. Keine Chance, in einem der Restaurants etwas zu finden, das sowohl milchfrei als auch frei von Gluten wäre. Das Angebot am Frühstücksbuffet beschränkte sich für mich auf Nüsse und Saaten, Reiswaffel und Knäckebrot mit Margarine, Kartoffeln, grüne Bohnen und eine sehr übersichtliche Obst- und Gemüseauswahl. Ein bisschen dünn für den stolzen Preis.
Dies zur Information für den Veranstalter und Betroffene. Ansonsten gibt es wirklich nichts zu beanstanden. Ich würde jederzeit diese entspannte Überfahrt wieder machen.",Datoen for opplevelsen: 04. juni 2024,Speiseangebot für Allergiker,Vurdert til 4 av 5 stjerner,"There is basically nothing negative to say about the ship. The cabins are clean, the crew friendly and helpful when needed, the food on offer is varied... unless you have food allergies or are vegan or both, like me. In that case it is advisable to bring your own food. No chance of finding anything in any of the restaurants that is both dairy-free and gluten-free. For me, the breakfast buffet was limited to nuts and seeds, rice cakes and crispbread with margarine, potatoes, green beans and a very limited selection of fruit and vegetables. A bit thin for the high price. This is for the information of the organizer and those affected. Otherwise there is really nothing to complain about. I would do this relaxing crossing again at any time.",DE
"Für eine kurze Überfahrten nach Oslo und zurück ist es ok. Das Frühstück ist reichhaltig und vielfältig. Das Schiff an sich ist sehr Sauber und das Personal ist grundlegend freundlich, manchmal aber recht planlos / unsicher und leider ist das mit dem Englisch bis auf wenige Ausnahmen auch recht spärlich sodass man sich trotzdem noch mit Händen und Füßen verständigen muß.

Wirklich hervor getan hat sich ein Servicemitarbeiter namens Baron. DER konnte gutes Englisch war überaus freundlich und zuvorkommend. Und hat sich zusätzlich gekümmert wo andere einfach den Tisch ignoriert haben weil er halt etwas weiter weg war.",Datoen for opplevelsen: 01. juni 2024,Überfahrt von Kiel --> Oslo --> Kiel,Vurdert til 4 av 5 stjerner,"It&#39;s OK for a short crossing to Oslo and back. The breakfast is plentiful and varied. The ship itself is very clean and the staff are generally friendly, but sometimes quite clueless/uncertain and unfortunately, with a few exceptions, the English is also pretty sparse so you still have to communicate with your hands and feet. A service employee called Baron really stood out. HE spoke good English and was extremely friendly and courteous. And he also took care of things when others simply ignored the table because it was a bit further away.",DE
"Die Reise von Kiel nach Oslo verlief reibungslos. Das Schiff ist pünktlich abgelegt und minutengenau in Oslo oder Kiel wieder angekommen. Alles auf dem Schiff ist fantastisch organisiert.
Wer hier etwas zu meckern hat, sollte besser zu Hause bleiben.",Datoen for opplevelsen: 01. juni 2024,Die Reise von Kiel nach Oslo verlief…,Vurdert til 5 av 5 stjerner,The trip from Kiel to Oslo went smoothly. The ship left on time and arrived back in Oslo or Kiel on the exact minute. Everything on the ship is fantastically organized. Anyone who has something to complain about is better off staying at home.,DE
"Gut organisiert beim Check in und ebenso beim Fahren auf die Fähre. Das Schiff macht einen sehr sicheren Eindruck.
Das Personal ist stets höflich.
Die Überfahrt nach Kristiansand dauert 4 Stunden.
Mein Tip: Das Dinnerpaket buchen. Die Auswahl ist riesig und die Qualität hervorragend. Zudem bekommt man einen Tisch zugewiesen, den man während der gesamten Überfahrt reserviert hat.",Datoen for opplevelsen: 24. mai 2024,Überfahrt von Dänemark nach Norwegen,Vurdert til 5 av 5 stjerner,Well organized when checking in and when boarding the ferry. The ship gives a very safe impression. The staff is always polite. The crossing to Kristiansand takes 4 hours. My tip: book the dinner package. The selection is huge and the quality is excellent. You are also assigned a table that is reserved for the entire crossing.,DE
"Wird leider immer schlechter! Alleine das man mit dem Wissen ablegt das man eventuell den Norovirus an Bord hat, spricht Bände! Da keine Links erlaubt sind einfach danach suchen!
Essen ist völlig überteuert und dem Preis einfach nicht gerecht! Die Kabinen waren mal sauberer und zu den Betten sagt man besser nichts. Das viele Eltern ihre Kinder nicht vernünftig beaufsichtigen und die ohne Rücksicht durch das Schiff toben und an die Kabinentüren klopfen, kommt noch dazu. Und das alles zu Preisen die inzwischen völlig abgehoben sind!",Datoen for opplevelsen: 09. juli 2023,Es geht Abwärts!,Vurdert til 2 av 5 stjerner,"Unfortunately, it&#39;s getting worse and worse! The fact that you&#39;re leaving the ship knowing that you might have norovirus on board speaks volumes! Since no links are allowed, just search for them! The food is completely overpriced and the price just doesn&#39;t do it justice! The cabins used to be cleaner and it&#39;s better not to say anything about the beds. The fact that many parents don&#39;t properly supervise their children and they run around the ship without consideration and knock on the cabin doors is another problem. And all of this at prices that are now completely out of control!",DE
"Leider für eine Minikreuzfahrt nicht konzipiert. Auf dem gesamten Schiff keine Möglichkeit, außerhalb der Restaurans zu sitzen - außer auf der Treppe! Im Außenbereich leider viel zu wenig Stühle für die Anzahl der Passagiere, wie das im Sommer gehen soll, ist mir ein Rätsel. Die Außenkabine war sauber, aber wäre für zwei Personen zu klein, ich habe sie allein bewohnt, das war ok.",Datoen for opplevelsen: 08. mai 2024,Minikreuzfahrt Kiel-Oslo,Vurdert til 3 av 5 stjerner,"Unfortunately, it&#39;s not designed for a mini cruise. There&#39;s no place to sit outside the restaurants on the ship - except on the stairs! Unfortunately, there are far too few chairs outside for the number of passengers. How that&#39;s supposed to work in summer is a mystery to me. The outside cabin was clean, but would be too small for two people. I lived in it alone and that was OK.",DE
